Season,SeasonEndYear,Team,FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Trp-Dbl,FG%,3P%,2P%,FT%,eFG%,WINS,LOSSES
2004-2005,2005,ATL,2942.0,6672.0,304.0,973.0,2638.0,5699.0,1417.0,1994.0,1100.0,2335.0,3435.0,1614.0,629.0,344.0,1255.0,2009.0,7605.0,0.0,0.440947242206235,0.31243576567317577,0.4628882260045622,0.7106318956870612,0.46372901678657075,13.0,69.0
2004-2005,2005,BOS,3046.0,6511.0,437.0,1252.0,2609.0,5259.0,1775.0,2323.0,909.0,2438.0,3347.0,1810.0,667.0,423.0,1259.0,2000.0,8304.0,2.0,0.46782368299800337,0.3490415335463259,0.4961019205172086,0.7640981489453293,0.5013822761480571,45.0,37.0
2004-2005,2005,CHA,2961.0,6859.0,320.0,881.0,2641.0,5978.0,1487.0,2096.0,1083.0,2335.0,3418.0,1794.0,695.0,440.0,1137.0,1894.0,7729.0,0.0,0.43169558244642076,0.36322360953461974,0.4417865506858481,0.7094465648854962,0.45502259804636247,,
2004-2005,2005,CHI,2849.0,6592.0,511.0,1433.0,2338.0,5159.0,1536.0,2048.0,1001.0,2591.0,3592.0,1743.0,576.0,369.0,1319.0,2028.0,7745.0,0.0,0.43219053398058255,0.35659455687369157,0.4531886024423338,0.75,0.4709496359223301,47.0,35.0
2004-2005,2005,CLE,2990.0,6687.0,300.0,904.0,2690.0,5783.0,1634.0,2174.0,1117.0,2352.0,3469.0,1851.0,654.0,461.0,1071.0,1850.0,7914.0,4.0,0.4471362344848213,0.33185840707964603,0.46515649316963514,0.7516099356025759,0.4695678181546284,42.0,40.0
2004-2005,2005,DAL,3058.0,6691.0,463.0,1273.0,2595.0,5418.0,1826.0,2314.0,990.0,2530.0,3520.0,1610.0,708.0,461.0,1052.0,1827.0,8405.0,0.0,0.4570318338066059,0.36370777690494893,0.4789590254706534,0.7891097666378565,0.4916305484979824,58.0,24.0
2004-2005,2005,DEN,3038.0,6615.0,320.0,940.0,2718.0,5675.0,1765.0,2313.0,967.0,2473.0,3440.0,1958.0,750.0,489.0,1183.0,1878.0,8161.0,0.0,0.45925925925925926,0.3404255319148936,0.47894273127753306,0.7630782533506268,0.4834467120181406,49.0,33.0
2004-2005,2005,DET,2851.0,6421.0,363.0,1053.0,2488.0,5368.0,1588.0,2150.0,1054.0,2507.0,3561.0,1787.0,576.0,497.0,1071.0,1638.0,7653.0,0.0,0.4440118361625915,0.34472934472934474,0.46348733233979134,0.7386046511627907,0.4722784612988631,54.0,28.0
2004-2005,2005,GSW,3029.0,7039.0,624.0,1774.0,2405.0,5265.0,1412.0,1955.0,1069.0,2436.0,3505.0,1811.0,642.0,420.0,1077.0,1833.0,8094.0,0.0,0.4303168063645404,0.35174746335963925,0.4567901234567901,0.7222506393861893,0.4746412842733343,34.0,48.0
2004-2005,2005,HOU,2846.0,6419.0,553.0,1521.0,2293.0,4898.0,1551.0,1986.0,874.0,2601.0,3475.0,1733.0,563.0,378.0,1072.0,1807.0,7796.0,0.0,0.44337124162642155,0.3635765943458251,0.46815026541445487,0.7809667673716012,0.48644648699174325,51.0,31.0
2004-2005,2005,IND,2668.0,6169.0,542.0,1575.0,2126.0,4594.0,1748.0,2206.0,868.0,2418.0,3286.0,1489.0,615.0,357.0,1098.0,1890.0,7626.0,0.0,0.43248500567352893,0.3441269841269841,0.4627775359164127,0.7923844061650045,0.47641432971308156,44.0,38.0
2004-2005,2005,LAC,2924.0,6368.0,231.0,669.0,2693.0,5699.0,1770.0,2274.0,980.0,2455.0,3435.0,1901.0,599.0,422.0,1211.0,1819.0,7849.0,0.0,0.4591708542713568,0.3452914798206278,0.47253904193718194,0.7783641160949868,0.47730841708542715,37.0,45.0
2004-2005,2005,LAL,2895.0,6629.0,644.0,1813.0,2251.0,4816.0,1661.0,2137.0,1028.0,2511.0,3539.0,1672.0,508.0,344.0,1127.0,1794.0,8095.0,5.0,0.436717453612913,0.3552123552123552,0.4674003322259136,0.7772578380907814,0.4852918992306532,34.0,48.0
2004-2005,2005,MEM,2802.0,6271.0,531.0,1486.0,2271.0,4785.0,1526.0,2024.0,887.0,2307.0,3194.0,1716.0,699.0,476.0,1145.0,1910.0,7661.0,0.0,0.44681868920427364,0.3573351278600269,0.4746081504702194,0.7539525691699605,0.48915643438048156,45.0,37.0
2004-2005,2005,MIA,3097.0,6368.0,475.0,1260.0,2622.0,5108.0,1658.0,2466.0,887.0,2639.0,3526.0,1790.0,528.0,474.0,1093.0,1814.0,8327.0,1.0,0.4863379396984925,0.376984126984127,0.5133124510571653,0.6723438767234388,0.5236337939698492,59.0,23.0
2004-2005,2005,MIL,2964.0,6580.0,325.0,925.0,2639.0,5655.0,1720.0,2229.0,985.0,2405.0,3390.0,1720.0,529.0,289.0,1091.0,1797.0,7973.0,0.0,0.45045592705167176,0.35135135135135137,0.4666666666666667,0.7716464782413638,0.47515197568389056,30.0,52.0
2004-2005,2005,MIN,3045.0,6629.0,395.0,1145.0,2650.0,5484.0,1449.0,1820.0,947.0,2580.0,3527.0,1918.0,460.0,447.0,1035.0,1774.0,7934.0,1.0,0.4593453009503696,0.34497816593886466,0.48322392414296134,0.7961538461538461,0.4891386332780208,44.0,38.0
2004-2005,2005,NJN,2753.0,6419.0,435.0,1203.0,2318.0,5216.0,1555.0,2039.0,855.0,2387.0,3242.0,1772.0,650.0,308.0,1101.0,1985.0,7496.0,8.0,0.42888300358311265,0.36159600997506236,0.44440184049079756,0.7626287395782246,0.4627667861037545,42.0,40.0
2004-2005,2005,NOH,2718.0,6556.0,415.0,1316.0,2303.0,5240.0,1401.0,1830.0,1019.0,2281.0,3300.0,1724.0,550.0,310.0,1142.0,1883.0,7252.0,1.0,0.4145820622330689,0.31534954407294835,0.4395038167938931,0.7655737704918033,0.44623245881635143,18.0,64.0
2004-2005,2005,NYK,2978.0,6599.0,441.0,1240.0,2537.0,5359.0,1580.0,2060.0,965.0,2393.0,3358.0,1665.0,629.0,260.0,1139.0,1942.0,7977.0,0.0,0.45128049704500683,0.3556451612903226,0.47340921813771225,0.7669902912621359,0.48469465070465223,33.0,49.0
2004-2005,2005,ORL,3034.0,6679.0,320.0,916.0,2714.0,5763.0,1772.0,2335.0,1038.0,2544.0,3582.0,1583.0,633.0,441.0,1283.0,1937.0,8160.0,0.0,0.45425961970354845,0.34934497816593885,0.4709352767655735,0.7588865096359743,0.47821530169187004,36.0,46.0
2004-2005,2005,PHI,2946.0,6736.0,505.0,1453.0,2441.0,5283.0,1731.0,2194.0,909.0,2536.0,3445.0,1710.0,756.0,321.0,1243.0,1878.0,8128.0,1.0,0.43735154394299286,0.3475567790777701,0.46204807874313836,0.7889699179580675,0.47483669833729214,43.0,39.0
2004-2005,2005,PHO,3351.0,7018.0,796.0,2026.0,2555.0,4992.0,1556.0,2080.0,967.0,2652.0,3619.0,1927.0,572.0,453.0,1101.0,1563.0,9054.0,1.0,0.4774864633798803,0.3928923988153998,0.5118189102564102,0.7480769230769231,0.5341977771444856,,
